Variation,accuracy,precision,recall,f1_score,true_positives,false_positives,false_negatives,true_negatives
Examples of Every Type Less Detailed Instructions - Race Bias Type,0.9305555555555556,0.4,0.5,0.4444444444444444,2,3,2,65
Examples of Every Type Less Detailed Instructions - Religion Bias Type,0.9583333333333334,0.7142857142857143,0.8333333333333334,0.7692307692307693,5,2,1,64
Examples of Every Type Less Detailed Instructions - Sexual Bias Type,0.9861111111111112,1.0,0.5,0.6666666666666666,1,0,1,70
Examples of Every Type Less Detailed Instructions - No Bias,0.7638888888888888,0.926829268292683,0.7307692307692307,0.8172043010752689,38,3,14,17
Not Detailed Instructions Balanced Examples - General Relaxed Aggregate,0.75,0.5384615384615384,0.7,0.6086956521739131,14,12,6,40
Not Detailed Instructions Balanced Examples - General Matching Aggregate,0.7361111111111112,1.0,0.7361111111111112,0.848,53,0,19,0
Not Detailed Instructions Balanced Examples - Gender Bias Type,0.8888888888888888,0.5,0.875,0.6363636363636364,7,7,1,57
Not Detailed Instructions Balanced Examples - Disability Bias Type,0.9583333333333334,0.25,1.0,0.4,1,3,0,68
Not Detailed Instructions Balanced Examples - Race Bias Type,0.9305555555555556,0.4,0.5,0.4444444444444444,2,3,2,65
Not Detailed Instructions Balanced Examples - Religion Bias Type,0.9583333333333334,1.0,0.5,0.6666666666666666,3,0,3,66
Not Detailed Instructions Balanced Examples - Sexual Bias Type,0.9861111111111112,1.0,0.5,0.6666666666666666,1,0,1,70
Not Detailed Instructions Balanced Examples - No Bias,0.7361111111111112,0.8837209302325582,0.7307692307692307,0.8,38,5,14,15
Balanced Examples - General Relaxed Aggregate,0.7777777777777778,0.5666666666666667,0.85,0.68,17,13,3,39
Balanced Examples - General Matching Aggregate,0.7638888888888888,1.0,0.7638888888888888,0.8661417322834646,55,0,17,0
Balanced Examples - Gender Bias Type,0.875,0.4666666666666667,0.875,0.6086956521739131,7,8,1,56
Balanced Examples - Disability Bias Type,0.9583333333333334,0.25,1.0,0.4,1,3,0,68
Balanced Examples - Race Bias Type,0.9444444444444444,0.5,0.75,0.6,3,3,1,65
Balanced Examples - Religion Bias Type,0.9861111111111112,1.0,0.8333333333333334,0.9090909090909091,5,0,1,66
Balanced Examples - Sexual Bias Type,0.9861111111111112,1.0,0.5,0.6666666666666666,1,0,1,70
Balanced Examples - No Bias,0.7638888888888888,0.9487179487179487,0.7115384615384616,0.8131868131868132,37,2,15,18
Balanced Examples Less Detailed Instructions - General Relaxed Aggregate,0.7361111111111112,0.5161290322580645,0.8,0.6274509803921569,16,15,4,37
Balanced Examples Less Detailed Instructions - General Matching Aggregate,0.7222222222222222,1.0,0.7222222222222222,0.8387096774193549,52,0,20,0
Balanced Examples Less Detailed Instructions - Gender Bias Type,0.8611111111111112,0.42857142857142855,0.75,0.5454545454545454,6,8,2,56
Balanced Examples Less Detailed Instructions - Disability Bias Type,0.9583333333333334,0.25,1.0,0.4,1,3,0,68
Balanced Examples Less Detailed Instructions - Race Bias Type,0.9305555555555556,0.42857142857142855,0.75,0.5454545454545454,3,4,1,64
Balanced Examples Less Detailed Instructions - Religion Bias Type,0.9861111111111112,1.0,0.8333333333333334,0.9090909090909091,5,0,1,66
Balanced Examples Less Detailed Instructions - Sexual Bias Type,0.9861111111111112,1.0,0.5,0.6666666666666666,1,0,1,70
Balanced Examples Less Detailed Instructions - No Bias,0.6944444444444444,0.9166666666666666,0.6346153846153846,0.75,33,3,19,17
Less Detailed Instructions - General Relaxed Aggregate,0.7777777777777778,0.5625,0.9,0.6923076923076923,18,14,2,38
Less Detailed Instructions - General Matching Aggregate,0.75,1.0,0.75,0.8571428571428571,54,0,18,0
Less Detailed Instructions - Gender Bias Type,0.8611111111111112,0.42857142857142855,0.75,0.5454545454545454,6,8,2,56
Less Detailed Instructions - Disability Bias Type,0.9444444444444444,0.2,1.0,0.3333333333333333,1,4,0,67
Less Detailed Instructions - Race Bias Type,0.9444444444444444,0.5,1.0,0.6666666666666666,4,4,0,64
Less Detailed Instructions - Religion Bias Type,0.9861111111111112,1.0,0.8333333333333334,0.9090909090909091,5,0,1,66
Less Detailed Instructions - Sexual Bias Type,0.9861111111111112,1.0,0.5,0.6666666666666666,1,0,1,70
Less Detailed Instructions - No Bias,0.7222222222222222,0.9444444444444444,0.6538461538461539,0.7727272727272727,34,2,18,18
